source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon
104953,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,28.81060436,5.40E-09,T of N2O per VKT,5149.137118,km,,5.34E+09,vehicle km traveled (VKT),,,Mandalay Urban Area in Mandalay District,,21.93371542,96.10205622
104953,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2,473127.1952,8.86E-05,T of CO2 per VKT,5149.137118,km,,5.34E+09,vehicle km traveled (VKT),,,Mandalay Urban Area in Mandalay District,,21.93371542,96.10205622
104953,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,ch4,191.4964078,3.59E-08,T of CH4 per VKT,5149.137118,km,,5.34E+09,vehicle km traveled (VKT),,,Mandalay Urban Area in Mandalay District,,21.93371542,96.10205622
104953,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_20yr,496790.9438,5.40E-09,,5149.137118,km,,5.34E+09,vehicle km traveled (VKT),,,Mandalay Urban Area in Mandalay District,,21.93371542,96.10205622
104953,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_100yr,486699.0832,5.40E-09,,5149.137118,km,,5.34E+09,vehicle km traveled (VKT),,,Mandalay Urban Area in Mandalay District,,21.93371542,96.10205622
104953,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,n2o,27.90881796,5.40E-09,T of N2O per VKT,5167.09201,km,,5.17E+09,vehicle km traveled (VKT),,,Mandalay Urban Area in Mandalay District,,21.93371542,96.10205622
104953,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2,458318.076,8.86E-05,T of CO2 per VKT,5167.09201,km,,5.17E+09,vehicle km traveled (VKT),,,Mandalay Urban Area in Mandalay District,,21.93371542,96.10205622
104953,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,ch4,185.5024739,3.59E-08,T of CH4 per VKT,5167.09201,km,,5.17E+09,vehicle km traveled (VKT),,,Mandalay Urban Area in Mandalay District,,21.93371542,96.10205622
104953,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_20yr,481241.1374,5.40E-09,,5167.09201,km,,5.17E+09,vehicle km traveled (VKT),,,Mandalay Urban Area in Mandalay District,,21.93371542,96.10205622
104953,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_100yr,471465.157,5.40E-09,,5167.09201,km,,5.17E+09,vehicle km traveled (VKT),,,Mandalay Urban Area in Mandalay District,,21.93371542,96.10205622
104881,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,22.54922532,5.40E-09,T of N2O per VKT,4456.471715,km,,4.18E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-N District,,16.93323992,96.12741694
104881,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2,370302.9479,8.86E-05,T of CO2 per VKT,4456.471715,km,,4.18E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-N District,,16.93323992,96.12741694
104881,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,ch4,149.8786902,3.59E-08,T of CH4 per VKT,4456.471715,km,,4.18E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-N District,,16.93323992,96.12741694
104881,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_20yr,388823.8784,5.40E-09,,4456.471715,km,,4.18E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-N District,,16.93323992,96.12741694
104881,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_100yr,380925.2714,5.40E-09,,4456.471715,km,,4.18E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-N District,,16.93323992,96.12741694
104881,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,n2o,23.04453607,5.40E-09,T of N2O per VKT,4558.637083,km,,4.27E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-N District,,16.93323992,96.12741694
104881,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2,378436.9316,8.86E-05,T of CO2 per VKT,4558.637083,km,,4.27E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-N District,,16.93323992,96.12741694
104881,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,ch4,153.1708888,3.59E-08,T of CH4 per VKT,4558.637083,km,,4.27E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-N District,,16.93323992,96.12741694
104881,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_20yr,397364.6883,5.40E-09,,4558.637083,km,,4.27E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-N District,,16.93323992,96.12741694
104881,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_100yr,389292.5825,5.40E-09,,4558.637083,km,,4.27E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-N District,,16.93323992,96.12741694
105654,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,19.91680531,5.40E-09,T of N2O per VKT,2656.621788,km,,3.69E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-W District,,16.82039547,96.16500623
105654,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2,327073.3968,8.86E-05,T of CO2 per VKT,2656.621788,km,,3.69E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-W District,,16.82039547,96.16500623
105654,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,ch4,132.3816961,3.59E-08,T of CH4 per VKT,2656.621788,km,,3.69E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-W District,,16.82039547,96.16500623
105654,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_20yr,343432.1745,5.40E-09,,2656.621788,km,,3.69E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-W District,,16.82039547,96.16500623
105654,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_100yr,336455.6592,5.40E-09,,2656.621788,km,,3.69E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-W District,,16.82039547,96.16500623
105654,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,n2o,19.88944346,5.40E-09,T of N2O per VKT,2654.551316,km,,3.68E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-W District,,16.82039547,96.16500623
105654,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2,326624.061,8.86E-05,T of CO2 per VKT,2654.551316,km,,3.68E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-W District,,16.82039547,96.16500623
105654,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,ch4,132.1998292,3.59E-08,T of CH4 per VKT,2654.551316,km,,3.68E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-W District,,16.82039547,96.16500623
105654,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_20yr,342960.3649,5.40E-09,,2654.551316,km,,3.68E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-W District,,16.82039547,96.16500623
105654,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_100yr,335993.4339,5.40E-09,,2654.551316,km,,3.68E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-W District,,16.82039547,96.16500623
105164,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,18.41207522,5.40E-09,T of N2O per VKT,3401.46636,km,,3.41E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-E District,,16.8334256,96.22627523
105164,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2,302362.748,8.86E-05,T of CO2 per VKT,3401.46636,km,,3.41E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-E District,,16.8334256,96.22627523
105164,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,ch4,122.3801563,3.59E-08,T of CH4 per VKT,3401.46636,km,,3.41E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-E District,,16.8334256,96.22627523
105164,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_20yr,317485.6074,5.40E-09,,3401.46636,km,,3.41E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-E District,,16.8334256,96.22627523
105164,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,co2e_100yr,311036.1731,5.40E-09,,3401.46636,km,,3.41E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-E District,,16.8334256,96.22627523
105164,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,n2o,18.53236988,5.40E-09,T of N2O per VKT,3430.150969,km,,3.43E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-E District,,16.8334256,96.22627523
105164,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2,304338.2246,8.86E-05,T of CO2 per VKT,3430.150969,km,,3.43E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-E District,,16.8334256,96.22627523
105164,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,ch4,123.1797228,3.59E-08,T of CH4 per VKT,3430.150969,km,,3.43E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-E District,,16.8334256,96.22627523
105164,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_20yr,319559.8887,5.40E-09,,3430.150969,km,,3.43E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-E District,,16.8334256,96.22627523
105164,MMR,road-transportation,1/1/2022,12/31/2022,Yearly,co2e_100yr,313068.3173,5.40E-09,,3430.150969,km,,3.43E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-E District,,16.8334256,96.22627523
106450,MMR,road-transportation,1/1/2021,12/31/2021,Yearly,n2o,6.086174273,5.40E-09,T of N2O per VKT,1411.243229,km,,1.13E+09,vehicle km traveled (VKT),,,Yangon Urban Area in Yangon-S District,,16.74819122,96.15643508
